section,name,value,year,firm
Assets,Net loans & advances to customers,1120067000,2012,Blackstone
Assets,Net loans & advances to customers,860514000,2011,Blackstone
Assets,Gross loans & advances to customers,1120067000,2012,Blackstone
Assets,Gross loans & advances to customers,860514000,2011,Blackstone
Assets,Total other earning assets,35390190000,2024,Blackstone
Assets,Total other earning assets,30784033000,2023,Blackstone
Assets,Total other earning assets,31902635000,2022,Blackstone
Assets,Total other earning assets,33467311000,2021,Blackstone
Assets,Total other earning assets,18964679000,2020,Blackstone
Assets,Total other earning assets,24930951000,2019,Blackstone
Assets,Total other earning assets,22416072000,2018,Blackstone
Assets,Total other earning assets,26467476000,2017,Blackstone
Assets,Total other earning assets,19259241000,2016,Blackstone
Assets,Total other earning assets,15774406000,2015,Blackstone
Assets,Total other earning assets,23897810000,2014,Blackstone
Assets,Total other earning assets,23080894000,2013,Blackstone
Assets,Total other earning assets,21150632000,2012,Blackstone
Assets,Total other earning assets,15337236000,2011,Blackstone
Assets,Total other earning assets,12977825000,2010,Blackstone
Assets,Total other earning assets,4326043000,2009,Blackstone
Assets,Total other earning assets,3919246000,2008,Blackstone
Assets,Total other earning assets,8813260000,2007,Blackstone
Assets,Total other earning assets,31980661000,2006,Blackstone
Assets,Interbank assets,118495000,2016,Blackstone
Assets,Interbank assets,204893000,2015,Blackstone
Assets,Interbank assets,148984000,2013,Blackstone
Assets,Interbank assets,248018000,2012,Blackstone
Assets,Interbank assets,139485000,2011,Blackstone
Assets,Interbank assets,181425000,2010,Blackstone
Assets,"of which Reverse repos, securities borrowed & cash collateral",118495000,2016,Blackstone
Assets,"of which Reverse repos, securities borrowed & cash collateral",204893000,2015,Blackstone
Assets,"of which Reverse repos, securities borrowed & cash collateral",148984000,2013,Blackstone
Assets,"of which Reverse repos, securities borrowed & cash collateral",248018000,2012,Blackstone
Assets,"of which Reverse repos, securities borrowed & cash collateral",139485000,2011,Blackstone
Assets,"of which Reverse repos, securities borrowed & cash collateral",181425000,2010,Blackstone
Assets,Derivative financial instruments (Assets),193552000,2024,Blackstone
Assets,Derivative financial instruments (Assets),190079000,2023,Blackstone
Assets,Derivative financial instruments (Assets),277603000,2022,Blackstone
Assets,Derivative financial instruments (Assets),146061000,2021,Blackstone
Assets,Derivative financial instruments (Assets),126564000,2020,Blackstone
Assets,Derivative financial instruments (Assets),54786000,2019,Blackstone
Assets,Derivative financial instruments (Assets),45497000,2018,Blackstone
Assets,Derivative financial instruments (Assets),4443000,2017,Blackstone
Assets,Derivative financial instruments (Assets),3393000,2016,Blackstone
Assets,Derivative financial instruments (Assets),6019000,2015,Blackstone
Assets,Derivative financial instruments (Assets),15009000,2014,Blackstone
Assets,Derivative financial instruments (Assets),44899000,2013,Blackstone
Assets,Derivative financial instruments (Assets),99374000,2012,Blackstone
Assets,Derivative financial instruments (Assets),98738000,2011,Blackstone
Assets,Derivative financial instruments (Assets),26533000,2010,Blackstone
Assets,Derivative financial instruments (Assets),653000,2009,Blackstone
Assets,Securities and Investments,35196638000,2024,Blackstone
Assets,Securities and Investments,30593954000,2023,Blackstone
Assets,Securities and Investments,31625032000,2022,Blackstone
Assets,Securities and Investments,33321250000,2021,Blackstone
Assets,Securities and Investments,18838115000,2020,Blackstone
Assets,Securities and Investments,24876165000,2019,Blackstone
Assets,Securities and Investments,22370575000,2018,Blackstone
Assets,Securities and Investments,26463033000,2017,Blackstone
Assets,Securities and Investments,19137353000,2016,Blackstone
Assets,Securities and Investments,15563494000,2015,Blackstone
Assets,Securities and Investments,23882801000,2014,Blackstone
Assets,Securities and Investments,22887011000,2013,Blackstone
Assets,Securities and Investments,20803240000,2012,Blackstone
Assets,Securities and Investments,15099013000,2011,Blackstone
Assets,Securities and Investments,12769867000,2010,Blackstone
Assets,Securities and Investments,4325390000,2009,Blackstone
Assets,Securities and Investments,3919246000,2008,Blackstone
Assets,Securities and Investments,8001010000,2007,Blackstone
Assets,Securities and Investments,31582465000,2006,Blackstone
Assets,Other earning assets,812250000,2007,Blackstone
Assets,Other earning assets,398196000,2006,Blackstone
Assets,Total Earning Assets,35390190000,2024,Blackstone
Assets,Total Earning Assets,30784033000,2023,Blackstone
Assets,Total Earning Assets,31902635000,2022,Blackstone
Assets,Total Earning Assets,33467311000,2021,Blackstone
Assets,Total Earning Assets,18964679000,2020,Blackstone
Assets,Total Earning Assets,24930951000,2019,Blackstone
Assets,Total Earning Assets,22416072000,2018,Blackstone
Assets,Total Earning Assets,26467476000,2017,Blackstone
Assets,Total Earning Assets,19259241000,2016,Blackstone
Assets,Total Earning Assets,15774406000,2015,Blackstone
Assets,Total Earning Assets,23897810000,2014,Blackstone
Assets,Total Earning Assets,23080894000,2013,Blackstone
Assets,Total Earning Assets,22270699000,2012,Blackstone
Assets,Total Earning Assets,16197750000,2011,Blackstone
Assets,Total Earning Assets,12977825000,2010,Blackstone
Assets,Total Earning Assets,4326043000,2009,Blackstone
Assets,Total Earning Assets,3919246000,2008,Blackstone
Assets,Total Earning Assets,8813260000,2007,Blackstone
Assets,Total Earning Assets,31980661000,2006,Blackstone
Assets,"Fixed assets (property, plant and equipment)",1344938000,2024,Blackstone
Assets,"Fixed assets (property, plant and equipment)",1384060000,2023,Blackstone
Assets,"Fixed assets (property, plant and equipment)",1308694000,2022,Blackstone
Assets,"Fixed assets (property, plant and equipment)",1033599000,2021,Blackstone
Assets,"Fixed assets (property, plant and equipment)",758750000,2020,Blackstone
Assets,"Fixed assets (property, plant and equipment)",625541000,2019,Blackstone
Assets,"Fixed assets (property, plant and equipment)",120372000,2018,Blackstone
Assets,"Fixed assets (property, plant and equipment)",126566000,2017,Blackstone
Assets,"Fixed assets (property, plant and equipment)",126784000,2016,Blackstone
Assets,"Fixed assets (property, plant and equipment)",135543000,2015,Blackstone
Assets,"Fixed assets (property, plant and equipment)",135740000,2014,Blackstone
Assets,"Fixed assets (property, plant and equipment)",137088000,2013,Blackstone
Assets,"Fixed assets (property, plant and equipment)",142390000,2012,Blackstone
Assets,"Fixed assets (property, plant and equipment)",149690000,2011,Blackstone
Assets,"Fixed assets (property, plant and equipment)",144881000,2010,Blackstone
